Year,Attendance,Three.Year.Simple.Moving.Avg,Three.Year.Weighted.Moving.Avg
1993,5761,,
1994,6148,6230.7,6388.1
1995,6783,6792,6987
1996,7445,7211,7292.6
1997,7405,8766.7,9435.5
1998,11450,10026.3,10528
1999,11224,11459,11508.7
2000,11703,11605.7,11700.7
2001,11890,11991,12097.6
2002,12380,12150.3,12182.5
2003,12181,12372.7,12408.8
2004,12557,12479.3,12553.3
2005,12700,14852.3,15971.4
2006,19300,18033.3,19380
2007,22100,21373.3,21850
2008,22720,21985.3,21804
2009,21136,22213.7,22277.3
2010,22785,22432.7,22751.2
2011,23377,23154,23220.1
2012,23300,,
